"Gene","Protein","logFC","P.Value","adj.P.Val","1","2","3","4","5","6","7","8","9","10"
"NUDT19","A8MXV4",-0.785318617726705,0.00625626998928204,0.0732418365679817,7.62274488053796,8.17146211874345,6.72753410437717,7.3841437314885,6.82387187167732,7.04792457102322,6.73244157477145,8.22106413885138,6.7169253698189,7.72551632970978
"ESPN","B1AK53",1.29685942919866,0.0213216582549162,0.0772018845866402,8.03264745397086,6.96693899838254,8.04072559817494,7.74787869624665,8.48493210106688,8.24485972311911,8.10469001014445,5.44700852547804,8.3862570076162,6.1582690817537
"SMIM1","B2RUZ4",0.80582095118968,0.00197180004318933,0.0732418365679817,5.08561831004252,4.17885375984033,5.72427060677098,5.41045736773509,5.73656711338524,5.22010747641992,5.91729596448632,4.81230170017405,5.65272019770354,4.46564713227083
"EIF3CL","B5ME19",0.092147553266881,0.180684083605839,0.265514587141775,10.7214544072787,10.6694870165513,10.7639867246357,10.5993022773463,10.8020643816597,10.7681430673963,10.7160229712922,10.6554912945555,10.8064149859901,10.6567820486726
"IGLL5","B9A064",-1.19678459333261,0.0101417951478019,0.0732418365679817,6.68257371876419,7.46996296701697,6.63401296352093,7.49651843578176,5.78592074438209,6.10422572604321,6.68384981229651,9.19170706140005,5.3117299239072,6.81959593929199
"RASA4B","C9J798",0.595967353379578,0.000166153655324149,0.0732418365679817,6.76850498977631,6.22202300382202,6.80868861108687,6.25543860367674,6.51273569210923,6.04488535773099,6.74985636533866,6.00163768528276,6.70897933205655,6.04494357295724
"NACA","E9PAV3",-0.137563008712175,0.107476994018913,0.180164718668139,8.89082954622121,9.10984141767417,8.89571773050909,8.96998396264424,8.67241860922274,8.65694301705195,8.74897995940816,8.86272268421813,8.64761059196126,8.94388039929485
"AGPS","O00116",0.307583713654756,0.032011459834689,0.087455958623931,9.67629286136749,9.40274012216394,9.27259171992926,9.15763056885739,9.65456863263845,9.63349124251625,9.51004162659306,8.99306512521234,9.4231002697727,8.81174948327726
"KIF2A","O00139",-0.233667857770247,0.0139120619984296,0.0732418365679817,6.39884419796681,6.58706928893452,6.10143068067445,6.34655658155409,6.2137217885406,6.30401139689863,6.23537876748135,6.5402277158883,6.24275884537293,6.58260858561183
"TK2","O00142",0.740308856196197,0.0105864909830163,0.0732418365679817,7.932409258257,7.28977834506764,8.2143439408893,7.8711710795011,8.05668843494957,7.85932537881695,8.58972830474188,7.15372072208301,8.22844156214624,7.14607169453431
"DDX39A","O00148",-0.330530016138168,0.07904658484328,0.146859512915071,8.41100026708824,8.69701213886509,8.2087796371542,8.52014626350799,8.55630015553792,8.28021400506318,8.02565196937382,8.60943296758722,8.24135463950897,8.9889313743305
"PDLIM1","O00151",-0.444219144325625,0.00454399335887999,0.0732418365679817,10.8079409755651,10.9513312714999,10.1674449741658,10.4876167604581,9.9152490808726,10.3847006030992,10.1237761763215,10.7094722429202,10.3952835044782,11.0976695550539
"MYO1C","O00159",-0.298062748894679,0.029896258356349,0.0851466081361496,10.8478198677342,10.8922741688474,10.707894668259,10.8835900396877,10.5300305507943,10.739350152555,10.7713369042277,11.4201960034356,10.7351690316306,11.1471544025934
"SNAP23","O00161",0.107000520746763,0.218028197740724,0.306526200626959,9.71943452729573,9.48019553626304,9.45050818272261,9.33853282375493,9.91247331953662,9.711082444104,9.49861416638434,9.62776374616592,9.66324400423866,9.55169704615625
"HAX1","O00165",0.259731237669163,0.102008737597288,0.173852729259607,7.29439472428527,7.09342855935604,7.63204469277718,7.69568316374441,7.62706711654902,7.53633484798195,8.04694228921733,7.24765781446412,7.4481507783399,7.17683902727635
"AIP","O00170",-0.213397214104928,0.0271879858437866,0.0821738887335826,8.18910067348286,8.47342514930028,8.00847953524716,8.33929753891954,8.48689750216198,8.50384873815427,8.19819489310589,8.46097786550907,8.30906808904897,8.48117747168834
