"","baseMean","log2FoldChange (cortex over medulla)","lfcSE","stat","pvalue","padj"
"CASC11",0.527560462219088,-0.322814353656153,0.55997062312087,-0.576484444589288,0.564287781107063,NA
"MYC",105.860789490007,0.699743411855231,0.208389792899512,3.35785837741417,0.000785488466570676,0.00494247690290607
"MIR1204",1.0617820755479,-0.000488478500860313,0.733896882788493,-0.000665595552067621,0.999468931624478,NA
"PVT1",18.7158814599981,0.367516113698253,0.424226208003944,0.866321096538279,0.386314100279056,0.579495033803575
"MIR1205",0.668763367669754,-1.1138762701187,0.678105972581275,-1.64262860844393,0.100459797916029,NA
"MIR1206",0.952906437190748,-0.0685780835524563,0.715032577796182,-0.0959090336328764,0.923592819856638,NA
"MIR1207",0.617107578243743,0.379707089506334,0.681347476753831,0.557288465080089,0.577330355477366,NA
"CCDC26",1.6049200514229,0.128536149527535,0.733877198454082,0.175146672765276,0.860964385469337,NA
"MIR3686",0.295848076581422,0.125703470625375,0.539239805783539,0.233112372783241,0.815674147456525,NA
"GSDMC",0.485599053876093,-0.346522819500471,0.584094661685977,-0.593264828855377,0.553003932697465,NA
"FAM49B",581.876479022472,-0.485573507192055,0.158577884104167,-3.06205061276445,0.00219826279584934,0.0115828809318434
"MIR5194",8.14498695230456,-0.922584159309078,0.602926123555359,-1.53017778342187,0.125972728968203,0.269951410002999
"ASAP1",651.12321048288,-0.199763393416847,0.1418510222578,-1.40826192322954,0.159053526134509,0.318961182493726
"ASAP1-IT2",15.5147982111747,-0.240494508678477,0.426076919710715,-0.564439183520574,0.572455278448287,0.732449477358521
"ASAP1-IT1",33.875954567238,-0.077673886492421,0.373998185074867,-0.207685196324876,0.835474777275272,0.909936915691741
"ADCY8",4.81729789458105,-0.0566329699815335,0.648371795304575,-0.0873464428768528,0.93039613898126,0.963259115971503
"EFR3A",1866.58882404329,-0.0692087306291267,0.167458932003356,-0.413287782270938,0.679395780200673,0.810440439644765
"OC90",0.172858743284884,-0.424078562995041,0.504867581889793,-0.839979785209525,0.400919720799923,NA
"HHLA1",0.18463313355455,-0.430815754050268,0.507600746331179,-0.84872955204283,0.396031798230406,NA
"KCNQ3",135.379361228505,-0.857563420587638,0.3773689493311,-2.27248008111875,0.0230575297384528,0.0766590682012427
"HPYR1",4.43500727024707,1.03696849918369,0.634977749677896,1.63307848142665,0.10245249169016,0.233014262666203
"LRRC6",307.108181358355,0.287811452950914,0.181942239747185,1.58188364258261,0.113676135773708,0.251159866672218
"TMEM71",23.3074431116895,-0.313035817199486,0.36524668507199,-0.857053136944382,0.391415518731671,0.584080048042965
"PHF20L1",1143.60853095323,-0.0380458271902996,0.144994068123729,-0.262395749582208,0.793016349258118,0.884269313128208
"TG",141.19573488901,1.23283009202341,0.301795004596367,4.08499171042358,4.40783901833606e-05,0.00043045131161606
"SLA",150.714948044479,0.486827376429191,0.213809836546001,2.27691758383834,0.0227911476423371,0.076061133600982
"MIR7848",2.5826739551415,0.932739123912848,0.684570935044418,1.3625163970076,0.173034973011881,0.338461321324142
"WISP1",305.992673292705,-0.105537099202326,0.236424002337947,-0.446389106684144,0.655316200192124,0.793855794082893
"NDRG1",5389.07278954107,1.04331623820388,0.165658933722797,6.29797750569672,3.01554258899232e-10,1.1928146240903e-08
"ST3GAL1",1669.79659836225,1.94816443772551,0.297955534897204,6.53844016825408,6.21637443403154e-11,2.94001476855888e-09
"ZFAT",698.991020115298,0.976622419983955,0.205642636912352,4.74912418284253,2.04299469208256e-06,3.01218645112775e-05
"MIR30B",1.52705553906573,-0.411472223857413,0.734014621221669,-0.560577694178043,0.575085461117763,NA
"MIR30D",0.306296840159777,0.210212505947183,0.540788723788682,0.3887146619376,0.697487235057962,NA
"NCRNA00250",1.71304617817801,-0.400406518174453,0.724760504310523,-0.552467354102533,0.580628195199879,NA
"LOC101927845",1.4122920949199,-0.142631778241841,0.732595639807722,-0.194693730745212,0.845632720137774,NA
"KHDRBS3",230.538001576929,0.120182926655805,0.190891043947368,0.62958913194975,0.528963435994888,0.699888435400066
"FAM135B",27.251939175635,2.47172388462139,0.506576428312195,4.87927141193017,1.064784521902e-06,1.69224682945139e-05
"COL22A1",69.7439909426771,0.567878525870241,0.263034000066271,2.15895483369893,0.0308536711549803,0.0956483345811454
"KCNK9",1.76973983444067,-0.907250753540056,0.731604630857145,-1.24008339378214,0.214944550505346,NA
"TRAPPC9",735.854257118583,0.346061218935845,0.182063667578654,1.90077033786184,0.0573321008947493,0.152750379033772
"CHRAC1",234.772093584969,-0.0908228757082187,0.157559819781628,-0.576434244683041,0.564321703288443,0.726201616287776
"AGO2",427.487300922996,-0.0201082464166746,0.143989416720718,-0.139650863755331,0.888935850886921,0.94079183345881
"PTK2",2491.22597751873,-0.318222681770817,0.131498822573364,-2.41996601599439,0.0155219576467033,0.0563499177534406
"MIR151A",5.21761767027773,0.134166021068613,0.597860364463736,0.22441029551935,0.822438060305043,0.901895111776687
"DENND3",503.459802559682,0.0502969147023945,0.197183976237891,0.255076074953039,0.798664342511477,0.887707074612553
"SLC45A4",825.81304489175,-0.258685711342012,0.299180770958611,-0.864646850508312,0.387232649576949,0.580463579751696
"GPR20",3.51160033535066,0.267632526640633,0.655716897279534,0.408152554480445,0.683161678437612,0.813347054834515
"PTP4A3",133.575906513988,-0.0890778182135246,0.282151731569252,-0.315708919162388,0.752223456192124,0.859257643792182
"MIR1302-7",0.585686563212226,-0.472970624673755,0.64039084914055,-0.738565557750419,0.460170844961051,NA
"LINC00051",1.18756662596929,-0.766941825878659,0.715405761475335,-1.07203753055755,0.283703175375714,NA
"TSNARE1",173.449980828267,0.168559708319573,0.223458717251108,0.754321471066875,0.450656212712997,0.636182310376387
"ADGRB1",10.5404339734711,-1.30889071112076,0.515369584429328,-2.53971276277411,0.0110943542371907,0.0433414716608528
"ARC",11.23533932947,-1.63268504188664,0.509019132334535,-3.20751213102462,0.0013388841369055,0.00767877896912995
"JRK",590.779206550052,0.100852788495962,0.233667388619915,0.43160831766734,0.666026112132614,0.80137326620975
"PSCA",37.5869014630579,-0.463913106886516,0.512495996470128,-0.905203377356639,0.365357652972014,0.55857756267604
"LY6K",15.0157270291091,-1.98732045948533,0.454579029552564,-4.37178208911533,1.23236492946588e-05,0.000142274205889988
"LOC100288181",5.50400998810833,0.237522380023984,0.624838395371036,0.38013409832624,0.703845875460135,0.827755555379269
"THEM6",411.143429739782,0.234535847662633,0.231945158373832,1.01116940447028,0.311935356654417,0.503992358209232
"LYPD2",0.241442500873325,0.47952876237763,0.519412385750354,0.923213953947003,0.355895718430165,NA
"LYNX1",234.313403109231,0.372718948238031,0.201017817910976,1.85415876120542,0.063716450008712,0.16530649147616
"LOC100133669",5.64153000174002,1.84725896460755,0.598275551917127,3.08763906311757,0.00201753350677547,0.0108042836611275
"LY6E",659.097354175572,1.63892097270762,0.326694877785022,5.01667177587675,5.25742712507337e-07,9.10171733942852e-06
"C8orf31",20.6203638866509,-0.795330623284238,0.365191536073441,-2.17784517088122,0.0294175656569815,0.0923218361217661
"LY6H",0.266323041087813,0.16907447286346,0.53513781917177,0.315945662605449,0.752043751978345,NA
"GPIHBP1",69.7960224086917,-1.24407766465211,0.254329721051903,-4.89159371349376,1.00022749524564e-06,1.59873096791099e-05
"ZFP41",176.421031895325,0.547616437004476,0.312378261668908,1.75305552338625,0.0795924769373787,0.194219927521669
"GLI4",54.1239479552308,0.479066901784685,0.289096730330575,1.65711629196527,0.0974959658948939,0.225194173908461
