"","1","2","3","4","5","6","7","8","9","10"
"FAM138C",6.00564181338357,5.7562709351191,5.53113784400155,4.81607906382547,6.23876677297488,5.24380002357861,5.70319270792506,5.16877680639384,6.28439247708576,5.4856831445343
"FAM138F",6.00564181338357,5.7562709351191,5.53113784400155,4.81607906382547,6.23876677297488,5.24380002357861,5.70319270792506,5.16877680639384,6.28439247708576,5.4856831445343
"LOC729737",7.11708915078086,6.25490557449682,6.31609904293941,7.63217723807416,6.68743507473545,6.93282999330848,7.57346724035153,7.6776819890445,7.95140236582833,6.47401908523506
"FAM138D",5.82347372183434,5.71390593775936,5.62458263983923,4.81607906382547,5.57220030276035,5.36693662431268,5.39390267900922,5.16877680639384,6.17498835884385,4.81607906382547
"OR4F29",6.7461660556248,6.32645095791929,6.18312507905152,6.39047511863888,6.61022166252739,7.00345893036274,6.41835949365392,6.8844709798252,6.14580251318977,6.99771751957438
"OR4F3",6.7461660556248,6.32645095791929,6.18312507905152,6.39047511863888,6.61022166252739,7.00345893036274,6.41835949365392,6.8844709798252,6.14580251318977,6.99771751957438
"OR4F16",6.7461660556248,6.32645095791929,6.18312507905152,6.39047511863888,6.61022166252739,7.00345893036274,6.41835949365392,6.8844709798252,6.14580251318977,6.99771751957438
"LOC100132287",8.83371280093208,8.42450655849476,8.47080700051141,8.43941396437664,9.11799099242998,7.9718523389069,8.60557630475888,8.92783244758028,9.22062520080651,8.47554627726087
"LOC100132062",8.83371280093208,8.42450655849476,8.47080700051141,8.43941396437664,9.11799099242998,7.9718523389069,8.60557630475888,8.92783244758028,9.22062520080651,8.47554627726087
"LOC101928626",5.47392712463632,4.81607906382547,5.42215236892218,5.0875435019533,5.1973708498278,5.51038559614502,5.33358260014232,5.63428048067702,5.11608830929351,5.32417774848973
"LOC100133331",8.15976648354043,7.74742429581273,8.00028442950333,7.47509154307318,8.41778572499607,7.39976007358795,7.86074221039892,8.26472781672176,8.36734690053498,7.80747426838354
"LOC100288069",7.3533455543632,7.08891161336135,7.19760140469043,7.36241975571165,7.52066668932047,7.41429493567596,7.24664215198949,8.02075319972047,7.35733629471602,7.47648964140903
"FAM87B",5.23428680992247,5.22276240779645,5.08871492621439,5.0875435019533,5.28239198959975,4.81607906382547,5.18298473902101,5.06578374775622,4.81607906382547,4.81607906382547
"LINC00115",6.34201731647105,5.7965681988991,6.10990872282236,5.9985213904155,6.12293449392432,6.02008447111716,5.89448256783323,6.21808946344426,6.35987341451131,6.03089455515589
"LINC01128",8.21921654371629,7.77032442668039,7.92340946273582,8.05761789031576,8.20996216444209,8.06091033541791,8.29430284514691,8.50021901527252,8.54894017887738,8.68289782411613
"FAM41C",5.11231238852875,5.10412202422433,5.35895397885626,5.28489770700511,5.08608421811044,5.24380002357861,5.0758691560967,5.51633810875915,5.11608830929351,5.25666893423035
"LOC100130417",6.52032820848859,6.61174154837346,6.0310869392146,5.57620686800351,6.43925727178659,6.22564260780781,6.07633190804033,6.53308351638326,6.02003739790196,6.44173449172601
"SAMD11",7.38547422723535,7.77787502637061,7.03345181003501,6.79734295582188,7.16834650244845,7.22037233605867,7.32539942866399,7.31884054647759,7.25372589526257,7.37767793211343
"NOC2L",9.49722914525697,9.37158084972832,9.2763632658381,9.13723873732399,9.49429574009208,9.05774728200167,9.52313754194226,9.06900534288351,9.46773616403688,9.0893620322243
"KLHL17",7.3314968380703,7.12581456930793,6.54277767521575,6.94142486490825,6.77417324152474,6.87991929762241,6.77539214816253,6.74577235230485,6.75021743349681,6.73115796350854
"PLEKHN1",5.59183669361779,5.45597484320355,5.70741204240546,5.35664158291551,5.1973708498278,5.24380002357861,5.18298473902101,5.37169288389628,5.41291413398165,5.53102040292729
"PERM1",6.06977821877293,5.8350463705209,5.91509205967805,5.35664158291551,5.69904688897977,5.72818301728152,5.80417570231949,5.51633810875915,5.83585213902408,5.68738467648014
"HES4",6.10037454757416,5.94141853320572,5.74575420039236,5.66355443791989,5.73705216819375,5.94924544268917,5.39390267900922,5.59712726486525,5.48219684490126,5.78669174731566
"ISG15",7.2166268052084,7.50409578062387,6.00336896706441,6.37092092557584,6.68743507473545,6.94315743803347,6.05233332769617,6.25570114637859,6.02003739790196,6.59504526604645
"AGRN",11.3293801960296,11.5749412303857,9.34749596763474,10.7128687991825,10.8054400528601,10.1042023115614,10.4656433829282,10.9287328900329,10.840387674379,9.98841359758071
