"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CGREF1",1.2123334,0.0797733,4.12529721751587,0.000895850901806397,0.00550133097821619,-1.06445111860051
"TFF3",-1.1132,-0.16078,-4.12354428279641,0.000899040454415034,0.00551192739081766,-1.06801350639202
"L1CAM",-1.43014,0.53705,-4.1233838433877,0.000899332958603774,0.00551192739081766,-1.06833956400222
"TSC22D1",-1.0703,-0.25685,-4.12223172246417,0.000901436287912665,0.00551942843213647,-1.07068102383787
"CLIC4",0.8746,0.3333,4.11981904702206,0.000905857136506722,0.00554109102214053,-1.07558447728493
"SLC38A1",-1.122394,0.202023,-4.11089667387011,0.000922398515232906,0.00563310295416858,-1.09371995835538
"TMEM119",-0.91656,-0.35832,-4.11073857905493,0.000922694365341827,0.00563310295416858,-1.09404132617472
"PDPK1",0.96236,0.22538,4.10964515074683,0.000924743192578077,0.0056401246614383,-1.09626402177674
"CECR7",-0.8686,0.04946,-4.10708932806173,0.0009295502740083,0.00566183183886546,-1.10145960949482
"CDS1",-0.8273904,0.1606248,-4.10664674194368,0.0009303852841431,0.00566183183886546,-1.10235934205037
"ATL2",0.899128,0.213436,4.10631658406421,0.000931008677136577,0.00566183183886546,-1.10303052407201
"SLC23A3",1.4783,0.21607,4.10294779567102,0.000937393848097438,0.00569514403742451,-1.10987920106614
"NTN4",-1.166862,0.128225,-4.09771571969258,0.000947399115676349,0.00575036445839919,-1.12051670997954
"PLSCR1",-0.963794,0.139163,-4.09189848778192,0.000958650962565954,0.00580946576605531,-1.13234505373848
"ACADSB",1.02432,0.3613,4.0917254878959,0.000958987656729334,0.00580946576605531,-1.13269683741791
"FNTA",0.933,0.10742,4.08870291838774,0.000964889655910543,0.00583958291272379,-1.1388431967892
"LYPD6B",-1.490906,-0.311293,-4.08614299092992,0.000969917162593318,0.00586435463625786,-1.14404902414483
"BAG1",-1.0081266,0.0524967,-4.08232189367258,0.000977471112746676,0.00590048061872533,-1.15181995992901
"SUCLG2",0.86228,0.38648,4.08178305042767,0.000978541157244689,0.00590048061872533,-1.15291584080038
"PRDM16",-0.997008,0.040736,-4.08142532048777,0.0009792522014424,0.00590048061872533,-1.15364338502739
"RPGRIP1L",-0.9114,-0.04208,-4.08122390707649,0.000979652773217302,0.00590048061872533,-1.15405301760772
"C6orf201",1.178,0.2895,4.07896359750496,0.000984159527263004,0.00592194170000251,-1.15865010534128
"FN1",-1.041188,-0.221126,-4.07725657572512,0.000987577065631488,0.00593681385431343,-1.1621220115297
"FAM174B",-0.96916,-0.45488,-4.07435416930556,0.000993415541295983,0.00596619706906563,-1.16802542686059
"LOC344595",-0.8336,-0.19232,-4.07177658070669,0.000998630027975124,0.00599178016785074,-1.17326840203392
"CDKL2",-1.12787,0.123665,-4.06961883918199,0.00100301654970486,0.00601235135238556,-1.17765754734495
"TMEM45B",-1.2098934,-0.0107267,-4.06892121628567,0.00100443894885613,0.00601513248379871,-1.17907664098502
"MAFF",-1.110958,-0.071599,-4.06252466693039,0.00101757698496224,0.00608800110354914,-1.19208912246989
"SLC12A7",1.184204,0.323458,4.06109019416038,0.00102054718242796,0.00609647340962135,-1.19500744262104
"CH25H",-0.7922,-0.13516,-4.0609027868659,0.00102093587532059,0.00609647340962135,-1.1953887125023
"PPARA",1.151558,0.336941,4.05972309571134,0.00102338607539583,0.00610181740110422,-1.19778875455985
"CYP2J2",0.8678,-0.26256,4.05953596558741,0.00102377529052944,0.00610181740110422,-1.19816946847043
"PEX7",1.192488,0.255084,4.05820579134934,0.00102654628115135,0.00611252795114409,-1.20087572251657
"SYNJ2",-0.9528,-0.20434,-4.05660746913307,0.00102988595539184,0.0061266011905585,-1.20412759838734
"KRT15",-1.02372,-0.58566,-4.05586776999752,0.00103143528260501,0.00613000741820934,-1.20563258402984
"ANGPTL4",-1.0143,-0.34567,-4.0522402027736,0.00103906771393974,0.00616952599118806,-1.21301344188849
"PDE9A",-0.94376,0.2011,-4.04825517740773,0.00104751841185285,0.00621382377390218,-1.221122059413
"SLC35B3",-1.1062,0.01496,-4.04550668070872,0.00105338756986024,0.00624273879928505,-1.22671489674044
"SLC4A8",-1.43759,-0.117315,-4.04486885343077,0.0010547543598857,0.00624494185154966,-1.22801282483369
"NSMF",1.220478,0.193919,4.03679695865562,0.00107220797725772,0.00633954314740789,-1.24443950528127
"GALNT15",-0.908,0.02274,-4.03654727181865,0.00107275252111969,0.00633954314740789,-1.24494765913438
"ONECUT1",-1.153608,0.100364,-4.03499853595794,0.00107613645123698,0.00635031691395463,-1.2480996308514
"CDIP1",0.7832,0.30472,4.03478708764512,0.0010765992983505,0.00635031691395463,-1.2485299735451
"BIRC3",-0.79319,0.203705,-4.03074851868447,0.00108547838651378,0.00639012746597504,-1.2567495660655
"ACLY",1.01306,0.34619,4.03000355489123,0.00108712435085675,0.00639012746597504,-1.25826582021084
"OSBPL3",-1.16288,0.24516,-4.02987234228773,0.00108741452170228,0.00639012746597504,-1.25853288396103
"FJX1",-0.7742,0.04312,-4.02986927367626,0.00108742130874145,0.00639012746597504,-1.25853912966914
"LIFR-AS1",-1.164368,0.186136,-4.02539939813458,0.00109735342490229,0.0064408406837258,-1.26763717609236
"RUNX1T1",-0.7832,-0.14362,-4.0250633623939,0.00109810381319098,0.0064408406837258,-1.26832116961238
"CCDC113",-0.927408,-0.172956,-4.02435287877223,0.00109969208239259,0.00644413399542103,-1.26976735365936
"OCIAD2",1.197538,0.218631,4.01738547426297,0.00111539169494615,0.00652426245610621,-1.28395015801854
"PIP4K2A",1.0343054,0.0839073,4.01736193193041,0.00111544512673709,0.00652426245610621,-1.28399808278454
"BTF3L4",1.099084,0.379538,4.01364669388773,0.00112390989730041,0.00656765224902923,-1.29156131384196
"BOC",-1.18978,-0.18845,-4.01234973132276,0.00112688021967632,0.00657888396157079,-1.29420166532647
"MMP24",0.839346,0.363667,4.00920883374518,0.00113410661105251,0.00661491922952191,-1.30059606742508
"RAB9B",-1.326812,-0.292074,-4.00865283469447,0.00113539071314267,0.0066162600888425,-1.30172802466175
"ZNF512B",0.92126,0.09933,4.00536209554065,0.00114302108261387,0.00665454574627517,-1.30842778873683
"ABCA5",0.825996,0.357062,3.99770171081498,0.00116098576871481,0.00675010212241754,-1.32402492169336
"ARHGAP29",-0.816808,0.141236,-3.9974480775868,0.00116158545127644,0.00675010212241754,-1.32454136218415
"ITGB1BP1",-1.14382,0.073752,-3.99162375813302,0.00117544311883073,0.00682431176113013,-1.33640107760321
"MORF4L2-AS1",-1.05674,0.01247,-3.99047337236815,0.00117819998325371,0.00683399546663615,-1.33874363102877
"TACC1",-0.889204,0.060938,-3.9891331455243,0.00118142007164637,0.00684634567834959,-1.34147279901862
"UXS1",-1.16544,0.4292,-3.98693284671767,0.00118672598345052,0.00687074932853823,-1.34595345917279
"PROM1",-0.855806,0.184043,-3.986316874254,0.00118821569779904,0.0068730338427528,-1.34720783667866
"TPMT",0.985286,0.505677,3.98500955945991,0.00119138369642481,0.00688501296386934,-1.34987010374021
"AGR3",-1.36692,-0.08224,-3.97302489399429,0.00122082833025153,0.0070486831652793,-1.37427784066295
"RTN3",-1.02512,0.28582,-3.97093091559733,0.00122604819624548,0.00706794567354722,-1.37854270042364
"PLAUR",-0.99508444,-0.25804222,-3.9707833262439,0.0012264169596069,0.00706794567354722,-1.37884330277499
"SLC9A1",-0.95463,0.199105,-3.96454820604287,0.00124209908386307,0.00715175582598592,-1.39154306390697
"PLA2G4C",1.0488728,-0.1210436,3.96362240216464,0.00124444487704542,0.00715869481974065,-1.39342881552744
"DSEL",0.784006,0.102757,3.96295705235687,0.00124613350820605,0.00716184422848095,-1.39478406346503
"TMSB4X",-0.9086,-0.08544,-3.96117395661951,0.00125067040026708,0.0071813425728053,-1.39841608409459
"LPIN2",-0.96852,0.40642,-3.95896659275116,0.00125631000535876,0.00720713125560475,-1.40291238654291
"DNMT3B",0.7544,-0.06818,3.95448503768414,0.0012678394023311,0.00726546883328894,-1.41204139014144
"ITIH5",-1.16231428,0.05686286,-3.95411566696157,0.00126879442977767,0.00726546883328894,-1.41279382069017
"ETV5",1.120502,0.158231,3.95325822537203,0.00127101420279194,0.00727154524769576,-1.41454049051552
"DHFR",-0.797814,0.185513,-3.95254693195594,0.00127285861013603,0.0072731681914628,-1.41598945592223
"ACSS3",0.847386,0.429987,3.95225528146736,0.00127361565366756,0.0072731681914628,-1.41658357543673
"AIG1",1.0668,0.3639,3.95146010681984,0.00127568202554561,0.00727834581120388,-1.41820342865629
"HEXIM2",1.190834,0.242943,3.95021695047365,0.00127891935271977,0.00729018878989033,-1.42073588911783
"RUNX2",-0.82544,-0.21658,-3.94782102414611,0.00128518214309466,0.00731924058989301,-1.42561675712205
"SUN2",1.75426,0.22049,3.94471193693124,0.00129335546012698,0.0073591104875403,-1.43195058770835
"CNN1",-1.17458,-0.52131,-3.94145861948501,0.00130196435728735,0.00740138433544875,-1.43857841532509
"TUBB4A",0.92745,0.245415,3.93887204752391,0.00130885034792793,0.00743379618424949,-1.44384803640096
"EGR3",-0.859994,0.135983,-3.92854912207141,0.00133670172033781,0.00758511753783011,-1.46487995436163
"SFRP4",-1.54809,-0.064765,-3.92493192333616,0.00134660242000837,0.0076343963757656,-1.47225000284097
"DDX58",1.029602,0.323939,3.92214552873472,0.00135427974615956,0.00767099249719982,-1.47792741136468
"HAS2",-1.338616,-0.226084,-3.92165842792885,0.00135562639686374,0.00767138772882146,-1.47891991281442
"CCDC176",0.784888,0.451656,3.9212364164456,0.00135679419678009,0.00767138772882146,-1.47977979288011
"EPHB6",-0.86552,-0.50822,-3.92036732434719,0.00135920238007259,0.00767808653225527,-1.48155064079443
"CERK",0.847394,0.096403,3.91969307935667,0.00136107364028188,0.00768174295540383,-1.48292447836518
"CD82",-1.458708,0.123226,-3.91692775543686,0.00136877570044765,0.00771827160468055,-1.48855914852674
"ABHD17B",0.82,0.09232,3.91521964917491,0.00137355521040328,0.00773826974909424,-1.49203966379547
"OSBPL6",1.826812,0.147632,3.91392404260472,0.00137719176232224,0.00775179865500844,-1.49467967555308
"INF2",1.00578,-0.07673,3.9079923288336,0.00139396602889578,0.00783918530228489,-1.50676678264893
"SH3GL2",1.11297,0.461635,3.90391131700068,0.00140562671768543,0.00789768422577779,-1.51508293832672
"COL6A3",-0.83582,-0.11705,-3.90125827550875,0.0014132601946763,0.00793347136117033,-1.52048932181121
"INSR",0.836552,0.273544,3.88931290073575,0.00144815345613295,0.00812208319096551,-1.5448325812122
"GRIK2",0.95854,-0.04847,3.8823500460431,0.00146889348845883,0.0082310495835425,-1.55902267355422
"EML5",0.7482858,0.3232971,3.88015690783698,0.00147548818353768,0.00826062786787021,-1.56349230926091
"GLRX",1.064,0.35938,3.87811085570965,0.00148166761161551,0.00828783059759266,-1.56766221659787
"PRSS23",0.87086,0.22807,3.87645672168397,0.00148668252153723,0.00830847685233096,-1.57103340812423
"LAMC3",-1.61724,-0.1049,-3.87325646335822,0.00149643370061001,0.00835553194397547,-1.57755572009227
"ADH1C",-1.375718,0.044033,-3.87196573521191,0.0015003848382503,0.00837014688431903,-1.58018631934781
"MAGI2",0.97366,-0.11523,3.8697200349181,0.00150728448555587,0.00840117001007874,-1.58476324917066
"ESRP1",-1.12746,0.00141,-3.86728975967474,0.00151478739330809,0.00843549749813803,-1.58971639539718
"GCDH",1.0987,0.14821,3.86592515513474,0.00151901684541359,0.00845155117182244,-1.59249761323508
"VMP1",-0.8518,0.11342,-3.86443011142389,0.00152366429698845,0.00846990002471172,-1.59554469353977
"ELN",-0.775386,-0.368167,-3.86257155292979,0.00152946182282418,0.00849460389384476,-1.59933267892491
"DPT",-1.25334,-0.19177,-3.86085627881602,0.00153483219259517,0.00851282192516399,-1.60282864887013
"TLE1",-0.851408,-0.108976,-3.86065780861816,0.00153545481505507,0.00851282192516399,-1.60323316006609
"HN1L",-0.722402,0.061099,-3.85262712453801,0.00156086342608501,0.00864605371766065,-1.61960102580384
"WNT3",1.3757,0.11021,3.85128442903633,0.00156515294505725,0.00866216920915283,-1.62233768970585
"BMPR1B",-1.42222,0.47603,-3.84704877018123,0.00157876291842318,0.00872979389958049,-1.63097079733555
"PTPRN2",-0.9286,-0.15636,-3.84479082860196,0.00158606695302342,0.00875960404989854,-1.63557295241485
"TENM4",-0.897552,0.270164,-3.84451995413628,0.00158694547557913,0.00875960404989854,-1.63612505203961
"APOC1",1.25472,-0.0632,3.84300476590944,0.00159186874179577,0.00877905819289126,-1.63921333102347
"ACAD11",1.49886,0.18451,3.84162926352225,0.00159635150290389,0.00879605095015348,-1.64201690576775
"SCG5",-1.009768,-0.338268,-3.83958510806573,0.00160303699410174,0.00882514050437063,-1.64618335058412
"MAMDC2",-1.064596,-0.001242,-3.83876954402725,0.00160571222228419,0.00883212086507938,-1.64784565474658
"PDE8A",0.82945,0.260615,3.83630779816183,0.00161381469295209,0.00886891507265087,-1.65286325858714
"GALNT3",-0.99884,0.08396,-3.83555574787084,0.00161629818780878,0.00887479214933324,-1.65439611220614
"GBP2",-0.875714,-0.286643,-3.83198253180208,0.00162815090835805,0.00893205865459364,-1.66167917077536
"DAPK1",-1.000108,0.030678,-3.82944314516233,0.00163662768612255,0.00897072083677306,-1.66685505038585
"TK1",-0.98492,0.13718,-3.82619629866086,0.00164753106770366,0.00902260469538236,-1.6734729105719
"PTBP3",-0.903826,0.220375,-3.82532247962004,0.00165047799731697,0.00903086304373261,-1.6752539664595
